case_id,start,end,duration,activity
1,01:24.8,07:29.7,06:04.9,private
1,07:29.7,57:16.8,49:47.1,offline
1,57:16.8,01:25.9,04:09.1,copyFiles
1,01:25.9,01:52.2,00:26.3,browsing
2,01:52.2,02:17.8,00:25.6,printing
2,02:17.8,11:25.9,09:08.1,copyFiles
2,11:25.9,13:58.2,02:32.3,browsing
3,13:58.2,16:07.9,02:09.7,browsing
3,16:07.9,00:15.0,44:07.1,offline
3,00:15.0,00:36.9,00:21.9,browsing
3,00:37.0,00:57.5,00:20.6,copyFiles
4,00:57.5,01:48.4,00:50.9,mailing
4,01:48.4,02:42.9,00:54.5,browsing
4,02:42.9,06:24.0,03:41.1,breaks
4,06:24.0,08:03.5,01:39.5,browsing
5,08:03.5,14:09.9,06:06.4,private
5,14:09.9,18:49.0,04:39.0,breaks
5,18:49.0,02:47.1,43:58.1,meeting
5,02:47.1,10:07.2,07:20.1,offline
5,10:07.2,11:08.7,01:01.5,mailing
5,11:08.7,15:00.1,03:51.4,copyFiles
6,15:00.1,17:26.9,02:26.8,private
6,17:26.9,19:37.4,02:10.5,browsing
6,19:37.4,26:25.7,06:48.3,browsing
6,26:25.7,21:22.8,54:57.1,meeting
6,21:22.8,29:09.6,07:46.8,private
7,29:09.6,03:20.7,34:11.1,meeting
7,03:20.7,04:11.4,00:50.7,mailing
7,04:11.4,05:32.2,01:20.8,mailing
7,05:32.2,06:42.8,01:10.6,mailing
8,06:42.8,07:43.7,01:00.8,mailing
8,07:43.7,11:14.4,03:30.7,browsing
8,11:14.4,14:51.1,03:36.7,copyFiles
8,14:51.1,24:09.6,09:18.5,copyFiles
9,24:09.6,25:10.2,01:00.5,mailing
9,25:10.2,35:55.3,10:45.1,meeting
9,35:55.3,39:38.8,03:43.5,copyFiles
9,39:38.8,53:05.0,13:26.1,copyFiles
9,53:05.0,54:39.0,01:34.1,copyFiles
10,54:39.0,55:52.9,01:13.9,browsing
10,55:52.9,56:06.6,00:13.7,browsing
10,56:06.6,57:07.5,01:00.9,mailing
10,57:07.6,42:06.7,44:59.1,meeting
11,42:06.7,04:59.8,22:53.1,meeting
11,04:59.8,07:16.0,02:16.3,private
11,07:16.0,08:06.4,00:50.4,mailing
12,08:06.4,10:08.0,02:01.6,private
13,10:08.0,12:19.9,02:11.9,browsing
13,12:19.9,14:32.5,02:12.6,browsing
13,14:32.5,15:42.9,01:10.4,mailing
13,15:42.9,19:42.8,03:59.9,private
13,19:42.8,37:22.9,17:40.1,meeting
13,37:22.9,38:13.3,00:50.3,mailing
13,38:13.3,42:52.8,04:39.6,browsing
13,42:52.8,43:53.3,01:00.5,mailing
13,43:53.3,31:44.4,47:51.1,meeting
13,05:01.3,10:09.4,05:08.1,offline
14,10:09.4,14:56.5,04:47.1,copyFiles
14,14:56.5,18:41.1,03:44.6,copyFiles
14,18:41.2,19:20.3,00:39.1,meeting
14,19:20.3,36:29.4,17:09.1,meeting
14,36:29.4,39:33.9,03:04.5,browsing
14,39:33.9,42:11.6,02:37.8,copyFiles
14,42:11.6,48:41.3,06:29.7,copyFiles
14,48:41.3,49:04.7,00:23.4,browsing
15,49:04.7,51:35.1,02:30.4,copyFiles
15,51:35.1,57:05.9,05:30.7,copyFiles
15,57:05.9,57:21.1,00:15.2,printing
15,57:21.1,57:46.2,00:25.2,printing
